,Sample,ClassId,EN
188,signer0_sample189,37,fork
189,signer0_sample190,64,house
190,signer0_sample191,191,ceiling
191,signer0_sample192,70,football
192,signer0_sample193,9,wise
193,signer0_sample194,177,free
194,signer0_sample195,95,needle
195,signer0_sample196,152,cotton
196,signer0_sample197,58,pharmacy
197,signer0_sample198,197,screwdriver
198,signer0_sample199,215,bed
199,signer0_sample200,204,existing
200,signer0_sample201,151,apologize
201,signer0_sample202,205,tax
202,signer0_sample203,150,fasting
203,signer0_sample204,2,hungry
204,signer0_sample205,219,star
205,signer0_sample206,191,ceiling
206,signer0_sample207,11,kin
207,signer0_sample208,183,say
208,signer0_sample209,3,enjoy_your_meal
209,signer0_sample210,84,fault
210,signer0_sample211,86,no
211,signer0_sample212,98,light
212,signer0_sample213,72,get_well
213,signer0_sample214,24,glass
214,signer0_sample215,53,full
215,signer0_sample216,120,dog
216,signer0_sample217,138,where
217,signer0_sample218,219,star
218,signer0_sample219,42,child
219,signer0_sample220,89,gift
220,signer0_sample221,218,cook
221,signer0_sample222,162,police
222,signer0_sample223,134,manager
223,signer0_sample224,117,smell
224,signer0_sample225,199,orange
225,signer0_sample226,67,memorize
226,signer0_sample227,164,request
227,signer0_sample228,142,wood
228,signer0_sample229,115,mince
229,signer0_sample230,113,rent
230,signer0_sample231,3,enjoy_your_meal
231,signer0_sample232,87,congratulations
232,signer0_sample233,192,danger
233,signer0_sample234,113,rent
234,signer0_sample235,57,wall
235,signer0_sample236,5,tree
236,signer0_sample237,149,forest
237,signer0_sample238,211,help
238,signer0_sample239,47,minute
239,signer0_sample240,77,show
240,signer0_sample241,164,request
241,signer0_sample242,78,laugh
242,signer0_sample243,219,star
243,signer0_sample244,128,god_preserve
244,signer0_sample245,14,mother
245,signer0_sample246,94,drink
246,signer0_sample247,3,enjoy_your_meal
247,signer0_sample248,104,radiator
248,signer0_sample249,82,ill
249,signer0_sample250,35,work
250,signer0_sample251,225,difficult
251,signer0_sample252,198,turkey
252,signer0_sample253,207,alone
253,signer0_sample254,171,war
254,signer0_sample255,65,yes
255,signer0_sample256,73,bring
256,signer0_sample257,44,friday
257,signer0_sample258,15,friend
258,signer0_sample259,112,identity
259,signer0_sample260,39,teapot
260,signer0_sample261,21,garden
261,signer0_sample262,73,bring
262,signer0_sample263,208,wrong
263,signer0_sample264,166,soap
264,signer0_sample265,115,mince
265,signer0_sample266,24,glass
266,signer0_sample267,98,light
267,signer0_sample268,70,football
268,signer0_sample269,180,evil
269,signer0_sample270,157,sunday
270,signer0_sample271,132,stairs
271,signer0_sample272,167,sauce
272,signer0_sample273,63,meal
273,signer0_sample274,67,memorize
274,signer0_sample275,50,topple
275,signer0_sample276,1,hurry
276,signer0_sample277,216,slow
277,signer0_sample278,184,promise
278,signer0_sample279,64,house
279,signer0_sample280,68,elephant
280,signer0_sample281,63,meal
281,signer0_sample282,110,if_only
282,signer0_sample283,152,cotton
283,signer0_sample284,68,elephant
284,signer0_sample285,179,love
285,signer0_sample286,124,stain
286,signer0_sample287,180,evil
287,signer0_sample288,121,bridge
288,signer0_sample289,156,potato
289,signer0_sample290,26,feast
290,signer0_sample291,143,teacher
291,signer0_sample292,101,escape
292,signer0_sample293,182,you
293,signer0_sample294,140,oven
294,signer0_sample295,34,we
295,signer0_sample296,81,carpet
296,signer0_sample297,188,date
297,signer0_sample298,132,stairs
298,signer0_sample299,63,meal
299,signer0_sample300,88,animal
300,signer0_sample301,47,minute
301,signer0_sample302,172,sugar
302,signer0_sample303,78,laugh
303,signer0_sample304,188,date
304,signer0_sample305,199,orange
305,signer0_sample306,31,petrol
306,signer0_sample307,79,lightweight
307,signer0_sample308,138,where
308,signer0_sample309,120,dog
309,signer0_sample310,187,comb
310,signer0_sample311,162,police
311,signer0_sample312,38,tea
312,signer0_sample313,16,ataturk
313,signer0_sample314,103,pencil
314,signer0_sample315,137,why
315,signer0_sample316,50,topple
316,signer0_sample317,111,who
317,signer0_sample318,62,male
318,signer0_sample319,51,government
319,signer0_sample320,199,orange
320,signer0_sample321,59,glove
321,signer0_sample322,56,enemy
322,signer0_sample323,60,labor
323,signer0_sample324,126,scissors
324,signer0_sample325,125,salary
325,signer0_sample326,87,congratulations
326,signer0_sample327,154,money
327,signer0_sample328,114,book
328,signer0_sample329,183,say
329,signer0_sample330,35,work
330,signer0_sample331,104,radiator
331,signer0_sample332,84,fault
332,signer0_sample333,177,free
333,signer0_sample334,220,absent
334,signer0_sample335,93,goodbye
335,signer0_sample336,179,love
336,signer0_sample337,205,tax
337,signer0_sample338,63,meal
338,signer0_sample339,43,soup
339,signer0_sample340,25,flag
340,signer0_sample341,7,cry
341,signer0_sample342,60,labor
342,signer0_sample343,88,animal
343,signer0_sample344,183,say
344,signer0_sample345,141,room
345,signer0_sample346,174,umbrella
346,signer0_sample347,222,tired
347,signer0_sample348,168,tuesday
348,signer0_sample349,49,change
349,signer0_sample350,76,see
350,signer0_sample351,68,elephant
351,signer0_sample352,37,fork
352,signer0_sample353,112,identity
353,signer0_sample354,126,scissors
354,signer0_sample355,207,alone
355,signer0_sample356,37,fork
356,signer0_sample357,60,labor
357,signer0_sample358,56,enemy
358,signer0_sample359,15,friend
359,signer0_sample360,123,lap
360,signer0_sample361,88,animal
361,signer0_sample362,185,milk
362,signer0_sample363,182,you
363,signer0_sample364,133,guest
364,signer0_sample365,224,time
365,signer0_sample366,166,soap
366,signer0_sample367,66,married
367,signer0_sample368,210,band-aid
368,signer0_sample369,70,football
369,signer0_sample370,20,father
370,signer0_sample371,123,lap
371,signer0_sample372,18,mirror
372,signer0_sample373,156,potato
373,signer0_sample374,204,existing
374,signer0_sample375,113,rent
375,signer0_sample376,89,gift
376,signer0_sample377,186,okay
377,signer0_sample378,140,oven
378,signer0_sample379,125,salary
379,signer0_sample380,27,baby
380,signer0_sample381,155,pastrami
381,signer0_sample382,126,scissors
382,signer0_sample383,123,lap
383,signer0_sample384,190,sweet
384,signer0_sample385,199,orange
385,signer0_sample386,126,scissors
386,signer0_sample387,193,telephone
387,signer0_sample388,135,tap
388,signer0_sample389,161,picnic
389,signer0_sample390,15,friend
390,signer0_sample391,74,lake
391,signer0_sample392,84,fault
392,signer0_sample393,76,see
393,signer0_sample394,40,hammer
394,signer0_sample395,106,sibling
395,signer0_sample396,223,egg
396,signer0_sample397,107,crossroads
397,signer0_sample398,220,absent
398,signer0_sample399,167,sauce
399,signer0_sample400,187,comb
400,signer0_sample401,50,topple
401,signer0_sample402,25,flag
402,signer0_sample403,163,psychology
403,signer0_sample404,77,show
404,signer0_sample405,94,drink
405,signer0_sample406,108,accident
406,signer0_sample407,210,band-aid
407,signer0_sample408,54,wedding
408,signer0_sample409,191,ceiling
409,signer0_sample410,58,pharmacy
410,signer0_sample411,163,psychology
411,signer0_sample412,72,get_well
412,signer0_sample413,23,honey
413,signer0_sample414,108,accident
414,signer0_sample415,209,do
415,signer0_sample416,147,allright
416,signer0_sample417,157,sunday
417,signer0_sample418,138,where
418,signer0_sample419,22,look
419,signer0_sample420,120,dog
420,signer0_sample421,17,shoe
421,signer0_sample422,194,scales
422,signer0_sample423,197,screwdriver
423,signer0_sample424,208,wrong
424,signer0_sample425,197,screwdriver
425,signer0_sample426,40,hammer
426,signer0_sample427,25,flag
427,signer0_sample428,145,olympiad
428,signer0_sample429,134,manager
429,signer0_sample430,96,medicine
430,signer0_sample431,0,sister
431,signer0_sample432,77,show
432,signer0_sample433,29,wait
433,signer0_sample434,6,heavy
434,signer0_sample435,190,sweet
435,signer0_sample436,74,lake
436,signer0_sample437,117,smell
437,signer0_sample438,185,milk
438,signer0_sample439,28,single
439,signer0_sample440,93,goodbye
440,signer0_sample441,143,teacher
441,signer0_sample442,181,border
442,signer0_sample443,155,pastrami
443,signer0_sample444,21,garden
444,signer0_sample445,17,shoe
445,signer0_sample446,135,tap
446,signer0_sample447,56,enemy
447,signer0_sample448,96,medicine
448,signer0_sample449,223,egg
449,signer0_sample450,83,hospital
450,signer0_sample451,212,tomorrow
451,signer0_sample452,143,teacher
452,signer0_sample453,1,hurry
453,signer0_sample454,137,why
454,signer0_sample455,70,football
455,signer0_sample456,21,garden
456,signer0_sample457,195,tailor
457,signer0_sample458,102,breakfast
458,signer0_sample459,29,wait
459,signer0_sample460,166,soap
460,signer0_sample461,109,belt
461,signer0_sample462,180,evil
462,signer0_sample463,31,petrol
463,signer0_sample464,46,wallet
464,signer0_sample465,4,brother
465,signer0_sample466,13,key
466,signer0_sample467,173,hi
467,signer0_sample468,91,always
468,signer0_sample469,153,trousers
469,signer0_sample470,135,tap
470,signer0_sample471,71,past
471,signer0_sample472,9,wise
472,signer0_sample473,91,always
473,signer0_sample474,9,wise
474,signer0_sample475,82,ill
475,signer0_sample476,100,good
476,signer0_sample477,16,ataturk
477,signer0_sample478,214,pillow
478,signer0_sample479,117,smell
479,signer0_sample480,84,fault
480,signer0_sample481,45,saturday
481,signer0_sample482,145,olympiad
482,signer0_sample483,86,no
483,signer0_sample484,133,guest
484,signer0_sample485,200,toilet
485,signer0_sample486,61,retired
486,signer0_sample487,11,kin
487,signer0_sample488,15,friend
488,signer0_sample489,118,cologne
489,signer0_sample490,24,glass
490,signer0_sample491,164,request
491,signer0_sample492,8,family
492,signer0_sample493,216,slow
493,signer0_sample494,149,forest
494,signer0_sample495,115,mince
495,signer0_sample496,201,flour
496,signer0_sample497,178,voice
497,signer0_sample498,22,look
498,signer0_sample499,87,congratulations
499,signer0_sample500,121,bridge
500,signer0_sample501,18,mirror
501,signer0_sample502,100,good
502,signer0_sample503,125,salary
503,signer0_sample504,140,oven
504,signer0_sample505,106,sibling
505,signer0_sample506,90,halal
506,signer0_sample507,3,enjoy_your_meal
507,signer0_sample508,46,wallet
508,signer0_sample509,110,if_only
509,signer0_sample510,122,bad
510,signer0_sample511,156,potato
511,signer0_sample512,221,road
512,signer0_sample513,128,god_preserve
513,signer0_sample514,142,wood
514,signer0_sample515,0,sister
515,signer0_sample516,32,together
516,signer0_sample517,77,show
517,signer0_sample518,79,lightweight
518,signer0_sample519,177,free
519,signer0_sample520,85,towel
520,signer0_sample521,170,hat
521,signer0_sample522,136,how
522,signer0_sample523,69,photograph
523,signer0_sample524,39,teapot
524,signer0_sample525,153,trousers
525,signer0_sample526,74,lake
526,signer0_sample527,26,feast
527,signer0_sample528,166,soap
528,signer0_sample529,160,thursday
529,signer0_sample530,57,wall
530,signer0_sample531,38,tea
531,signer0_sample532,187,comb
532,signer0_sample533,54,wedding
533,signer0_sample534,112,identity
534,signer0_sample535,6,heavy
535,signer0_sample536,223,egg
536,signer0_sample537,213,forbidden
537,signer0_sample538,200,toilet
538,signer0_sample539,61,retired
539,signer0_sample540,204,existing
540,signer0_sample541,211,help
541,signer0_sample542,127,tongs
542,signer0_sample543,216,slow
543,signer0_sample544,148,they
544,signer0_sample545,217,eat
545,signer0_sample546,100,good
546,signer0_sample547,50,topple
547,signer0_sample548,12,shopping
548,signer0_sample549,120,dog
549,signer0_sample550,123,lap
550,signer0_sample551,208,wrong
551,signer0_sample552,139,grandmother
552,signer0_sample553,202,far
553,signer0_sample554,170,hat
554,signer0_sample555,206,near
555,signer0_sample556,39,teapot
556,signer0_sample557,83,hospital
557,signer0_sample558,218,cook
558,signer0_sample559,27,baby
559,signer0_sample560,62,male
560,signer0_sample561,130,be_pleased
561,signer0_sample562,125,salary
562,signer0_sample563,63,meal
563,signer0_sample564,114,book
564,signer0_sample565,196,thanks
565,signer0_sample566,61,retired
566,signer0_sample567,209,do
567,signer0_sample568,154,money
568,signer0_sample569,133,guest
569,signer0_sample570,150,fasting
570,signer0_sample571,141,room
571,signer0_sample572,206,near
572,signer0_sample573,220,absent
573,signer0_sample574,214,pillow
574,signer0_sample575,49,change
575,signer0_sample576,43,soup
576,signer0_sample577,71,past
577,signer0_sample578,114,book
578,signer0_sample579,66,married
579,signer0_sample580,189,holiday
580,signer0_sample581,183,say
581,signer0_sample582,42,child
582,signer0_sample583,172,sugar
583,signer0_sample584,161,picnic
584,signer0_sample585,198,turkey
585,signer0_sample586,119,coal
586,signer0_sample587,165,hour
587,signer0_sample588,188,date
588,signer0_sample589,152,cotton
589,signer0_sample590,15,friend
590,signer0_sample591,21,garden
591,signer0_sample592,146,nope
592,signer0_sample593,23,honey
593,signer0_sample594,93,goodbye
594,signer0_sample595,195,tailor
595,signer0_sample596,137,why
596,signer0_sample597,14,mother
597,signer0_sample598,49,change
598,signer0_sample599,60,labor
599,signer0_sample600,204,existing
600,signer0_sample601,167,sauce
601,signer0_sample602,160,thursday
602,signer0_sample603,183,say
603,signer0_sample604,200,toilet
604,signer0_sample605,38,tea
605,signer0_sample606,223,egg
606,signer0_sample607,151,apologize
607,signer0_sample608,218,cook
608,signer0_sample609,28,single
609,signer0_sample610,111,who
610,signer0_sample611,113,rent
611,signer0_sample612,220,absent
612,signer0_sample613,175,you
613,signer0_sample614,196,thanks
614,signer0_sample615,34,we
615,signer0_sample616,136,how
616,signer0_sample617,1,hurry
617,signer0_sample618,144,school
618,signer0_sample619,196,thanks
619,signer0_sample620,46,wallet
620,signer0_sample621,60,labor
621,signer0_sample622,150,fasting
622,signer0_sample623,36,wednesday
623,signer0_sample624,74,lake
624,signer0_sample625,198,turkey
625,signer0_sample626,176,bill
626,signer0_sample627,32,together
627,signer0_sample628,75,shirt
628,signer0_sample629,174,umbrella
629,signer0_sample630,21,garden
630,signer0_sample631,118,cologne
631,signer0_sample632,188,date
632,signer0_sample633,197,screwdriver
633,signer0_sample634,103,pencil
634,signer0_sample635,73,bring
635,signer0_sample636,88,animal
636,signer0_sample637,78,laugh
637,signer0_sample638,92,never
638,signer0_sample639,151,apologize
639,signer0_sample640,171,war
640,signer0_sample641,194,scales
641,signer0_sample642,212,tomorrow
642,signer0_sample643,154,money
643,signer0_sample644,108,accident
644,signer0_sample645,97,not_interested
645,signer0_sample646,70,football
646,signer0_sample647,207,alone
647,signer0_sample648,181,border
648,signer0_sample649,92,never
649,signer0_sample650,12,shopping
650,signer0_sample651,139,grandmother
651,signer0_sample652,31,petrol
652,signer0_sample653,159,window
653,signer0_sample654,16,ataturk
654,signer0_sample655,167,sauce
655,signer0_sample656,126,scissors
656,signer0_sample657,126,scissors
657,signer0_sample658,151,apologize
658,signer0_sample659,171,war
659,signer0_sample660,146,nope
660,signer0_sample661,8,family
661,signer0_sample662,184,promise
662,signer0_sample663,66,married
663,signer0_sample664,145,olympiad
664,signer0_sample665,95,needle
665,signer0_sample666,213,forbidden
666,signer0_sample667,205,tax
667,signer0_sample668,144,school
668,signer0_sample669,209,do
669,signer0_sample670,5,tree
670,signer0_sample671,121,bridge
671,signer0_sample672,219,star
672,signer0_sample673,225,difficult
673,signer0_sample674,32,together
674,signer0_sample675,82,ill
675,signer0_sample676,159,window
676,signer0_sample677,55,yesterday
677,signer0_sample678,99,push
678,signer0_sample679,92,never
679,signer0_sample680,168,tuesday
680,signer0_sample681,95,needle
681,signer0_sample682,161,picnic
682,signer0_sample683,124,stain
683,signer0_sample684,122,bad
684,signer0_sample685,218,cook
685,signer0_sample686,164,request
686,signer0_sample687,43,soup
687,signer0_sample688,158,monday
688,signer0_sample689,100,good
689,signer0_sample690,129,angel
690,signer0_sample691,140,oven
691,signer0_sample692,148,they
692,signer0_sample693,128,god_preserve
693,signer0_sample694,94,drink
694,signer0_sample695,10,unwise
695,signer0_sample696,100,good
696,signer0_sample697,75,shirt
697,signer0_sample698,182,you
698,signer0_sample699,4,brother
699,signer0_sample700,127,tongs
700,signer0_sample701,153,trousers
701,signer0_sample702,53,full
702,signer0_sample703,200,toilet
703,signer0_sample704,200,toilet
704,signer0_sample705,105,door
705,signer0_sample706,131,napkin
706,signer0_sample707,149,forest
707,signer0_sample708,20,father
708,signer0_sample709,155,pastrami
709,signer0_sample710,86,no
710,signer0_sample711,146,nope
711,signer0_sample712,90,halal
712,signer0_sample713,12,shopping
713,signer0_sample714,66,married
714,signer0_sample715,131,napkin
715,signer0_sample716,156,potato
716,signer0_sample717,67,memorize
717,signer0_sample718,33,inform
718,signer0_sample719,81,carpet
719,signer0_sample720,80,right
720,signer0_sample721,92,never
721,signer0_sample722,60,labor
722,signer0_sample723,93,goodbye
723,signer0_sample724,44,friday
724,signer0_sample725,171,war
725,signer0_sample726,119,coal
726,signer0_sample727,42,child
727,signer0_sample728,189,holiday
728,signer0_sample729,130,be_pleased
729,signer0_sample730,57,wall
730,signer0_sample731,220,absent
731,signer0_sample732,125,salary
732,signer0_sample733,54,wedding
733,signer0_sample734,137,why
734,signer0_sample735,189,holiday
735,signer0_sample736,103,pencil
736,signer0_sample737,5,tree
737,signer0_sample738,206,near
738,signer0_sample739,203,sad
739,signer0_sample740,150,fasting
740,signer0_sample741,65,yes
741,signer0_sample742,106,sibling
742,signer0_sample743,110,if_only
743,signer0_sample744,48,grandfather
744,signer0_sample745,104,radiator
745,signer0_sample746,218,cook
746,signer0_sample747,181,border
747,signer0_sample748,186,okay
748,signer0_sample749,58,pharmacy
749,signer0_sample750,29,wait
750,signer0_sample751,147,allright
751,signer0_sample752,34,we
752,signer0_sample753,61,retired
753,signer0_sample754,81,carpet
754,signer0_sample755,8,family
755,signer0_sample756,135,tap
756,signer0_sample757,201,flour
757,signer0_sample758,76,see
758,signer0_sample759,72,get_well
759,signer0_sample760,95,needle
760,signer0_sample761,82,ill
761,signer0_sample762,201,flour
762,signer0_sample763,107,crossroads
763,signer0_sample764,222,tired
764,signer0_sample765,53,full
765,signer0_sample766,17,shoe
766,signer0_sample767,19,same
767,signer0_sample768,99,push
768,signer0_sample769,73,bring
769,signer0_sample770,65,yes
770,signer0_sample771,51,government
771,signer0_sample772,158,monday
772,signer0_sample773,111,who
773,signer0_sample774,40,hammer
774,signer0_sample775,6,heavy
775,signer0_sample776,224,time
776,signer0_sample777,175,you
777,signer0_sample778,109,belt
778,signer0_sample779,22,look
779,signer0_sample780,17,shoe
780,signer0_sample781,158,monday
781,signer0_sample782,221,road
782,signer0_sample783,137,why
783,signer0_sample784,169,champion
784,signer0_sample785,38,tea
785,signer0_sample786,44,friday
786,signer0_sample787,163,psychology
787,signer0_sample788,132,stairs
788,signer0_sample789,64,house
789,signer0_sample790,71,past
790,signer0_sample791,17,shoe
791,signer0_sample792,12,shopping
792,signer0_sample793,105,door
793,signer0_sample794,10,unwise
794,signer0_sample795,51,government
795,signer0_sample796,198,turkey
796,signer0_sample797,27,baby
797,signer0_sample798,29,wait
798,signer0_sample799,49,change
799,signer0_sample800,134,manager
800,signer0_sample801,142,wood
801,signer0_sample802,174,umbrella
802,signer0_sample803,48,grandfather
803,signer0_sample804,203,sad
804,signer0_sample805,208,wrong
805,signer0_sample806,83,hospital
806,signer0_sample807,146,nope
807,signer0_sample808,41,ugly
808,signer0_sample809,42,child
809,signer0_sample810,192,danger
810,signer0_sample811,75,shirt
811,signer0_sample812,7,cry
812,signer0_sample813,172,sugar
813,signer0_sample814,89,gift
814,signer0_sample815,186,okay
815,signer0_sample816,171,war
816,signer0_sample817,213,forbidden
817,signer0_sample818,121,bridge
818,signer0_sample819,176,bill
819,signer0_sample820,70,football
820,signer0_sample821,172,sugar
821,signer0_sample822,155,pastrami
822,signer0_sample823,87,congratulations
823,signer0_sample824,45,saturday
824,signer0_sample825,84,fault
825,signer0_sample826,201,flour
826,signer0_sample827,128,god_preserve
827,signer0_sample828,194,scales
828,signer0_sample829,164,request
829,signer0_sample830,123,lap
830,signer0_sample831,21,garden
831,signer0_sample832,168,tuesday
832,signer0_sample833,180,evil
833,signer0_sample834,113,rent
834,signer0_sample835,186,okay
835,signer0_sample836,72,get_well
836,signer0_sample837,193,telephone
837,signer0_sample838,39,teapot
838,signer0_sample839,111,who
839,signer0_sample840,158,monday
840,signer0_sample841,15,friend
841,signer0_sample842,152,cotton
842,signer0_sample843,64,house
843,signer0_sample844,90,halal
844,signer0_sample845,52,doctor
845,signer0_sample846,48,grandfather
846,signer0_sample847,85,towel
847,signer0_sample848,95,needle
848,signer0_sample849,216,slow
849,signer0_sample850,149,forest
850,signer0_sample851,180,evil
851,signer0_sample852,33,inform
852,signer0_sample853,203,sad
853,signer0_sample854,105,door
854,signer0_sample855,202,far
855,signer0_sample856,195,tailor
856,signer0_sample857,138,where
857,signer0_sample858,93,goodbye
858,signer0_sample859,132,stairs
859,signer0_sample860,113,rent
860,signer0_sample861,210,band-aid
861,signer0_sample862,101,escape
862,signer0_sample863,78,laugh
863,signer0_sample864,4,brother
864,signer0_sample865,65,yes
865,signer0_sample866,95,needle
866,signer0_sample867,97,not_interested
867,signer0_sample868,174,umbrella
868,signer0_sample869,90,halal
869,signer0_sample870,51,government
870,signer0_sample871,172,sugar
871,signer0_sample872,106,sibling
872,signer0_sample873,12,shopping
873,signer0_sample874,167,sauce
874,signer0_sample875,205,tax
875,signer0_sample876,210,band-aid
876,signer0_sample877,179,love
877,signer0_sample878,64,house
878,signer0_sample879,193,telephone
879,signer0_sample880,112,identity
880,signer0_sample881,51,government
881,signer0_sample882,184,promise
882,signer0_sample883,217,eat
883,signer0_sample884,29,wait
884,signer0_sample885,160,thursday
885,signer0_sample886,56,enemy
886,signer0_sample887,127,tongs
887,signer0_sample888,147,allright
888,signer0_sample889,46,wallet
889,signer0_sample890,105,door
890,signer0_sample891,6,heavy
891,signer0_sample892,0,sister
892,signer0_sample893,159,window
893,signer0_sample894,119,coal
894,signer0_sample895,191,ceiling
895,signer0_sample896,124,stain
896,signer0_sample897,13,key
897,signer0_sample898,52,doctor
898,signer0_sample899,187,comb
899,signer0_sample900,211,help
900,signer0_sample901,109,belt
901,signer0_sample902,41,ugly
902,signer0_sample903,142,wood
903,signer0_sample904,89,gift
904,signer0_sample905,210,band-aid
905,signer0_sample906,23,honey
906,signer0_sample907,11,kin
907,signer0_sample908,103,pencil
908,signer0_sample909,72,get_well
909,signer0_sample910,96,medicine
910,signer0_sample911,86,no
911,signer0_sample912,216,slow
912,signer0_sample913,212,tomorrow
913,signer0_sample914,181,border
914,signer0_sample915,145,olympiad
